# Format is: alabel, type

ARMY, New-gTLD
BIO, New-gTLD
LAWYER, New-gTLD
VET, New-gTLD
MORTGAGE, New-gTLD
SOFTWARE, New-gTLD
HOST, New-gTLD
MARKET, New-gTLD
DENTIST, New-gTLD
HIV, New-gTLD
ATTORNEY, New-gTLD
PRESS, New-gTLD
DEGREE, New-gTLD
SPACE, New-gTLD
WEBSITE, New-gTLD
xn--4gbrim, New-gTLD
YACHTS, New-gTLD
RIO, New-gTLD
HOMES, New-gTLD
AUTOS, New-gTLD
VERSICHERUNG, New-gTLD
REISE, New-gTLD
MOTORCYCLES, New-gTLD
xn--czr694b, New-gTLD
GUIDE, New-gTLD
AUDIO, New-gTLD
HIPHOP, New-gTLD
LOANS, New-gTLD
CHURCH, New-gTLD
LIFE, New-gTLD
BEER, New-gTLD
JUEGOS, New-gTLD
LUXE, New-gTLD
CREDIT, New-gTLD
ACCOUNTANTS, New-gTLD
DIGITAL, New-gTLD
CLAIMS, New-gTLD
GMO, New-gTLD
GLOBO, New-gTLD
BAYERN, New-gTLD
AIRFORCE, New-gTLD
CREDITCARD, New-gTLD
INSURE, New-gTLD
FINANCE, New-gTLD
WTC, New-gTLD
CITIC, New-gTLD
xn--80adxhks, New-gTLD
MOSCOW, New-gTLD
LIMITED, New-gTLD
FAIL, New-gTLD
EXCHANGE, New-gTLD
TAX, New-gTLD
WTF, New-gTLD
FUND, New-gTLD
SURGERY, New-gTLD
INVESTMENTS, New-gTLD
FINANCIAL, New-gTLD
GRATIS, New-gTLD
FURNITURE, New-gTLD
DENTAL, New-gTLD
CARE, New-gTLD
CASH, New-gTLD
DISCOUNT, New-gTLD
BLACKFRIDAY, New-gTLD
CLINIC, New-gTLD
FITNESS, New-gTLD
SCHULE, New-gTLD
FOO, New-gTLD
SOY, New-gTLD
PARIS, New-gTLD
FROGANS, New-gTLD
QUEBEC, New-gTLD
PICTURES, New-gTLD
UNIVERSITY, New-gTLD
GAL, New-gTLD
ASSOCIATES, New-gTLD
REISEN, New-gTLD
MEDIA, New-gTLD
CAREER, New-gTLD
TOWN, New-gTLD
TOYS, New-gTLD
LEASE, New-gTLD
SERVICES, New-gTLD
ENGINEERING, New-gTLD
GRIPE, New-gTLD
EUS, New-gTLD
CAPITAL, New-gTLD
DESI, New-gTLD
FEEDBACK, New-gTLD
COLLEGE, New-gTLD
ROCKS, New-gTLD
xn--ses554g, New-gTLD
GOP, New-gTLD
RYUKYU, New-gTLD
YOKOHAMA, New-gTLD
REST, New-gTLD
SAARLAND, New-gTLD
CONSULTING, New-gTLD
VODKA, New-gTLD
HAUS, New-gTLD
COOKING, New-gTLD
MOE, New-gTLD
RODEO, New-gTLD
COUNTRY, New-gTLD
xn--czru2d, New-gTLD
HORSE, New-gTLD
FISHING, New-gTLD
VEGAS, New-gTLD
MIAMI, New-gTLD
ARCHI, New-gTLD
BLACK, New-gTLD
REN, New-gTLD
MEET, New-gTLD
SOHU, New-gTLD
LONDON, New-gTLD
NYC, New-gTLD
COLOGNE, New-gTLD
AXA, New-gTLD
WEBCAM, New-gTLD
TRADE, New-gTLD
JETZT, New-gTLD
xn--rhqv96g, New-gTLD
DNP, New-gTLD
INK, New-gTLD
xn--nqv7f, New-gTLD
xn--i1b6b1a6a2e, New-gTLD
xn--nqv7fs00ema, New-gTLD
xn--c1avg, New-gTLD
KOELN, New-gTLD
BID, New-gTLD
OKINAWA, New-gTLD
VOTE, New-gTLD
VOTO, New-gTLD
BAR, New-gTLD
KRED, New-gTLD
BEST, New-gTLD
CHRISTMAS, New-gTLD
PUB, New-gTLD
xn--d1acj3b, New-gTLD
ACTOR, New-gTLD
SUPPLIES, New-gTLD
FISH, New-gTLD
xn--cg4bki, New-gTLD
VACATIONS, New-gTLD
INDUSTRIES, New-gTLD
SUPPLY, New-gTLD
XYZ, New-gTLD
WIKI, New-gTLD
NEUSTAR, New-gTLD
xn--mgbab2bd, New-gTLD
MANGO, New-gTLD
QPON, New-gTLD
CARDS, New-gTLD
FOUNDATION, New-gTLD
REVIEWS, New-gTLD
FUTBOL, New-gTLD
VISION, New-gTLD
CONDOS, New-gTLD
VILLAS, New-gTLD
PARTS, New-gTLD
PRODUCTIONS, New-gTLD
MAISON, New-gTLD
xn--6frz82g, New-gTLD
BLUE, New-gTLD
FLIGHTS, New-gTLD
CLEANING, New-gTLD
REPORT, New-gTLD
EVENTS, New-gTLD
CRUISES, New-gTLD
RENTALS, New-gTLD
PARTNERS, New-gTLD
PROPERTIES, New-gTLD
CATERING, New-gTLD
EXPOSED, New-gTLD
VOTING, New-gTLD
TOKYO, New-gTLD
NAGOYA, New-gTLD
DATING, New-gTLD
COMMUNITY, New-gTLD
BOUTIQUE, New-gTLD
BARGAINS, New-gTLD
TIENDA, New-gTLD
WORKS, New-gTLD
WED, New-gTLD
EXPERT, New-gTLD
WATCH, New-gTLD
KIM, New-gTLD
COOL, New-gTLD
TOOLS, New-gTLD
CLUB, New-gTLD
BUILD, New-gTLD
PICS, New-gTLD
PINK, New-gTLD
LUXURY, New-gTLD
PHOTO, New-gTLD
GIFT, New-gTLD
xn--io0a7i, New-gTLD
xn--55qx5d, New-gTLD
MONASH, New-gTLD
RICH, New-gTLD
RED, New-gTLD
SHIKSHA, New-gTLD
xn--fiq64b, New-gTLD
LINK, New-gTLD
GUITARS, New-gTLD
ZONE, New-gTLD
CHEAP, New-gTLD
MARKETING, New-gTLD
DEMOCRAT, New-gTLD
SOCIAL, New-gTLD
AGENCY, New-gTLD
MODA, New-gTLD
DANCE, New-gTLD
BERLIN, New-gTLD
xn--3bst00m, New-gTLD
xn--6qq986b3xl, New-gTLD
xn--fiq228c5hs, New-gTLD
WANG, New-gTLD
KIWI, New-gTLD
WIEN, New-gTLD
EMAIL, New-gTLD
IMMOBILIEN, New-gTLD
xn--3ds443g, New-gTLD
INSTITUTE, New-gTLD
CEO, New-gTLD
SOLAR, New-gTLD
FARM, New-gTLD
EDUCATION, New-gTLD
GLASS, New-gTLD
ONL, New-gTLD
INTERNATIONAL, New-gTLD
CODES, New-gTLD
TRAINING, New-gTLD
HOUSE, New-gTLD
KAUFEN, New-gTLD
NINJA, New-gTLD
REPAIR, New-gTLD
BUILDERS, New-gTLD
COFFEE, New-gTLD
FLORIST, New-gTLD
HOLIDAY, New-gTLD
SOLUTIONS, New-gTLD
BUZZ, New-gTLD
SUPPORT, New-gTLD
RECIPES, New-gTLD
COMPUTER, New-gTLD
ACADEMY, New-gTLD
CAREERS, New-gTLD
CAB, New-gTLD
xn--55qw42g, New-gTLD
xn--zfr164b, New-gTLD
SYSTEMS, New-gTLD
DOMAINS, New-gTLD
VIAJES, New-gTLD
COMPANY, New-gTLD
CAMP, New-gTLD
LIMO, New-gTLD
MANAGEMENT, New-gTLD
PHOTOS, New-gTLD
SHOES, New-gTLD
CENTER, New-gTLD
RUHR, New-gTLD
MENU, New-gTLD
UNO, New-gTLD
xn--q9jyb4c, New-gTLD
DIAMONDS, New-gTLD
TIPS, New-gTLD
PHOTOGRAPHY, New-gTLD
DIRECTORY, New-gTLD
ENTERPRISES, New-gTLD
KITCHEN, New-gTLD
TODAY, New-gTLD
PLUMBING, New-gTLD
GRAPHICS, New-gTLD
CONTRACTORS, New-gTLD
GALLERY, New-gTLD
SEXY, New-gTLD
CONSTRUCTION, New-gTLD
TATTOO, New-gTLD
TECHNOLOGY, New-gTLD
ESTATE, New-gTLD
LAND, New-gTLD
BIKE, New-gTLD
VENTURES, New-gTLD
CAMERA, New-gTLD
CLOTHING, New-gTLD
LIGHTING, New-gTLD
SINGLES, New-gTLD
VOYAGE, New-gTLD
GURU, New-gTLD
HOLDINGS, New-gTLD
EQUIPMENT, New-gTLD
xn--ngbc5azd, New-gTLD
xn--80asehdb, New-gTLD
xn--80aswg, New-gTLD
xn--unup4y, New-gTLD);
