# Format is: alabel, ulabel, english, type

WORLD, null, null, New-gTLD
GOOGLE, null, null, New-gTLD
FLY, null, null, New-gTLD
NEXUS, null, null, New-gTLD
CHANNEL, null, null, New-gTLD
PROF, null, null, New-gTLD
GLE, null, null, New-gTLD
ZIP, null, null, New-gTLD
CAL, null, null, New-gTLD
CHROME, null, null, New-gTLD
WME, null, null, New-gTLD
PHARMACY, null, null, New-gTLD
GMX, null, null, New-gTLD
BOO, null, null, New-gTLD
DAD, null, null, New-gTLD
DAY, null, null, New-gTLD
FRL, null, null, New-gTLD
ING, null, null, New-gTLD
NEW, null, null, New-gTLD
MOV, null, null, New-gTLD
RSVP, null, null, New-gTLD
EAT, null, null, New-gTLD
MEME, null, null, New-gTLD
YOUTUBE, null, null, New-gTLD
HERE, null, null, New-gTLD
PROD, null, null, New-gTLD
ESQ, null, null, New-gTLD
IMMO, null, null, New-gTLD
PIZZA, null, null, New-gTLD
GMAIL, null, null, New-gTLD
GBIZ, null, null, New-gTLD
OTSUKA, null, null, New-gTLD
BUSINESS, null, null, New-gTLD
xn--vhquv, 企业, enterprise, New-gTLD
NETWORK, null, null, New-gTLD
CLICK, null, null, New-gTLD
DIET, null, null, New-gTLD
HOW, null, null, New-gTLD
OOO, null, null, New-gTLD
UOL, null, null, New-gTLD
HELP, null, null, New-gTLD
HOSTING, null, null, New-gTLD
PROPERTY, null, null, New-gTLD
LTDA, null, null, New-gTLD
CERN, null, null, New-gTLD
CARAVAN, null, null, New-gTLD
SCA, null, null, New-gTLD
xn--xhq521b, 广东, Guangdong, New-gTLD
xn--1qqw23a, 佛山, Foshan, New-gTLD
BNPPARIBAS, null, null, New-gTLD
RESTAURANT, null, null, New-gTLD
CYMRU, null, null, New-gTLD
SARL, null, null, New-gTLD
GIFTS, null, null, New-gTLD
WALES, null, null, New-gTLD
TATAR, null, null, New-gTLD
TOP, null, null, New-gTLD
HEALTHCARE, null, null, New-gTLD
REALTOR, null, null, New-gTLD
WILLIAMHILL, null, null, New-gTLD
ONG, null, null, New-gTLD
PRAXI, null, null, New-gTLD
YANDEX, null, null, New-gTLD
AUCTION, null, null, New-gTLD
WHOSWHO, null, null, New-gTLD
KRD, null, null, New-gTLD
NGO, null, null, New-gTLD
NRA, null, null, New-gTLD
SPIEGEL, null, null, New-gTLD
LACAIXA, null, null, New-gTLD
LGBT, null, null, New-gTLD
GENT, null, null, New-gTLD
NRW, null, null, New-gTLD
SCB, null, null, New-gTLD
DEALS, null, null, New-gTLD
MELBOURNE, null, null, New-gTLD
CITY, null, null, New-gTLD
SCHMIDT, null, null, New-gTLD
CUISINELLA, null, null, New-gTLD
CANCERRESEARCH, null, null, New-gTLD
DIRECT, null, null, New-gTLD
PLACE, null, null, New-gTLD
SUZUKI, null, null, New-gTLD
ACTIVE, null, null, New-gTLD
MINI, null, null, New-gTLD
BMW, null, null, New-gTLD
OVH, null, null, New-gTLD
CAPETOWN, null, null, New-gTLD
PHYSIO, null, null, New-gTLD
LOTTO, null, null, New-gTLD
DURBAN, null, null, New-gTLD
GREEN, null, null, New-gTLD
JOBURG, null, null, New-gTLD
VLAANDEREN, null, null, New-gTLD
BRUSSELS, null, null, New-gTLD
SURF, null, null, New-gTLD
xn--kput3i, 手机, cell phone, New-gTLD
BZH, null, null, New-gTLD
SCOT, null, null, New-gTLD
ORGANIC, null, null, New-gTLD
GLOBAL, null, null, New-gTLD
ENGINEER, null, null, New-gTLD
NHK, null, null, New-gTLD
HAMBURG, null, null, New-gTLD
REHAB, null, null, New-gTLD
TIROL, null, null, New-gTLD
REPUBLICAN, null, null, New-gTLD
GIVES, null, null, New-gTLD
NAVY, null, null, New-gTLD
ARMY, null, null, New-gTLD
BIO, null, null, New-gTLD
LAWYER, null, null, New-gTLD
VET, null, null, New-gTLD
MORTGAGE, null, null, New-gTLD
SOFTWARE, null, null, New-gTLD
HOST, null, null, New-gTLD
MARKET, null, null, New-gTLD
DENTIST, null, null, New-gTLD
HIV, null, null, New-gTLD
ATTORNEY, null, null, New-gTLD
PRESS, null, null, New-gTLD
DEGREE, null, null, New-gTLD
SPACE, null, null, New-gTLD
WEBSITE, null, null, New-gTLD
xn--4gbrim, موقع, site, New-gTLD
YACHTS, null, null, New-gTLD
RIO, null, null, New-gTLD
HOMES, null, null, New-gTLD
AUTOS, null, null, New-gTLD
VERSICHERUNG, null, null, New-gTLD
REISE, null, null, New-gTLD
MOTORCYCLES, null, null, New-gTLD
xn--czr694b, 商标, trademark, New-gTLD
GUIDE, null, null, New-gTLD
AUDIO, null, null, New-gTLD
HIPHOP, null, null, New-gTLD
LOANS, null, null, New-gTLD
CHURCH, null, null, New-gTLD
LIFE, null, null, New-gTLD
BEER, null, null, New-gTLD
JUEGOS, null, null, New-gTLD
LUXE, null, null, New-gTLD
CREDIT, null, null, New-gTLD
ACCOUNTANTS, null, null, New-gTLD
DIGITAL, null, null, New-gTLD
CLAIMS, null, null, New-gTLD
GMO, null, null, New-gTLD
GLOBO, null, null, New-gTLD
BAYERN, null, null, New-gTLD
AIRFORCE, null, null, New-gTLD
CREDITCARD, null, null, New-gTLD
INSURE, null, null, New-gTLD
FINANCE, null, null, New-gTLD
WTC, null, null, New-gTLD
CITIC, null, null, New-gTLD
xn--80adxhks, москва, Moscow, New-gTLD
MOSCOW, null, null, New-gTLD
LIMITED, null, null, New-gTLD
FAIL, null, null, New-gTLD
EXCHANGE, null, null, New-gTLD
TAX, null, null, New-gTLD
WTF, null, null, New-gTLD
FUND, null, null, New-gTLD
SURGERY, null, null, New-gTLD
INVESTMENTS, null, null, New-gTLD
FINANCIAL, null, null, New-gTLD
GRATIS, null, null, New-gTLD
FURNITURE, null, null, New-gTLD
DENTAL, null, null, New-gTLD
CARE, null, null, New-gTLD
CASH, null, null, New-gTLD
DISCOUNT, null, null, New-gTLD
BLACKFRIDAY, null, null, New-gTLD
CLINIC, null, null, New-gTLD
